name,specialty,address,distance,sector_info,profile_url
Notre entreprise,Unknown,Unknown,,,
Pour les soignants,Unknown,Unknown,,,
Recherches associées,Unknown,Unknown,,,
Recherches fréquentes,"Doctolib, 54 quai Charles Pasqua, 92300 Levallois-Perret",Unknown,,,
Notre entreprise,Unknown,Unknown,,,
Pour les soignants,Unknown,Unknown,,,
Recherches associées,Unknown,Unknown,,,
Recherches fréquentes,"Doctolib, 54 quai Charles Pasqua, 92300 Levallois-Perret",Unknown,,,
